category,year,Age 15-19,Age 20-24,Age 25-29
"No certificate, diploma or degree",2006,554500,91915,65860
"Certificate, diploma or degree",2006,273055,699270,672365
High school or equivalent,2006,244660,379505,186260
Apprenticeship or trades certificate or diploma,2006,7455,29875,41360
"College, CEGEP or other non-university certificate or diploma",2006,15280,144335,178375
"University certificate, diploma or degree",2006,5665,145560,266365
University certificate below bachelor level,2006,3975,29795,33405
"University certificate, diploma or degree at bachelor's or above",2006,1695,115765,232960
"No certificate, diploma or degree",2011,514165,73735,65860
"Certificate, diploma or degree",2011,342790,771660,742590
High school or equivalent,2011,307825,382120,182465
Apprenticeship or trades certificate or diploma,2011,8545,31925,44055
"College, CEGEP or other non-university certificate or diploma",2011,19535,156000,196260
"University certificate, diploma or degree",2011,6880,201605,319805
University certificate below bachelor level,2011,5220,34730,34700
"University certificate, diploma or degree at bachelor's or above",2011,1665,166880,285100
"No certificate, diploma or degree",2016,502350,62990,63695
"Certificate, diploma or degree",2016,304870,825590,804955
High school or equivalent,2016,283015,432955,197835
Apprenticeship or trades certificate or diploma,2016,4730,23635,36790
"College, CEGEP or other non-university certificate or diploma",2016,14100,161490,210165
"University certificate, diploma or degree",2016,3020,207515,360160
University certificate below bachelor level,2016,1735,15455,18220
"University certificate, diploma or degree at bachelor's or above",2016,1285,192060,341940
"No certificate, diploma or degree",2021,481910,51875,52070
"Certificate, diploma or degree",2021,317385,836725,917105
High school or equivalent,2021,297150,424820,217235
Apprenticeship or trades certificate or diploma,2021,4025,20120,31385
"College, CEGEP or other non-university certificate or diploma",2021,12955,156380,212005
"University certificate, diploma or degree",2021,3255,235415,456475
University certificate below bachelor level,2021,1785,18925,21540
"University certificate, diploma or degree at bachelor's or above",2021,1470,216490,434935
